"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10273","TC003_@sanity_DCIBlogDetailPage_Validation of Blog detail content section","MobileChrome","Fri Jun 27 15:36:40 IST 2025","passed","Fri Jun 27 15:36:51 IST 2025","","DCI_Blog_Detail/DCI_Blog_Detail.spec.ts","",""
"","4724","TC013_@sanity_Clinical Trial Landing Page_Validate the working of Category filter on clinical trial landing page","chromium","Fri Jun 27 14:58:28 IST 2025","passed","Fri Jun 27 14:58:33 IST 2025","","Clinical_Trial_Landing/Clinical_Trial_Landing.spec.ts","",""
"","3105","TC001_@sanity_DCIBlogLandingPage_Verify the navigation and header of Blog Landing Page on Desktop/Mobile","chromium","Fri Jun 27 14:59:49 IST 2025","passed","Fri Jun 27 14:59:52 IST 2025","","DCI_Blog_Landing/DCI_Blog_Landing.spec.ts","",""
"","17889","TC007_@sanity_EventDetailPage_Verify Event Time Format in ""When"" Section on Events Detail Page on Desktop/Mobile","webkit","Fri Jun 27 15:25:10 IST 2025","passed","Fri Jun 27 15:25:28 IST 2025","","Event_Detail_Page/Event_Detail_Page.spec.ts","",""
"","10229","TC001_@sanity_MemberLandingPage_ Validate navigation to Member landing page","MobileChrome","Fri Jun 27 15:44:48 IST 2025","passed","Fri Jun 27 15:44:59 IST 2025","","Member_Landing_Page/Member_Landing_Page.spec.ts","",""
"","15597","TC016_@sanity_EventsLandingPage_Search/Filter Functionality on Desktop/Mobile","webkit","Fri Jun 27 15:29:23 IST 2025","passed","Fri Jun 27 15:29:39 IST 2025","","Events_Landing_Page/Events_Landing_Page.spec.ts","",""
"","20825","TC006_@sanity_EventDetailPage_Verify Labels Color and Icon for Date, When, Where on Events Detail Page on Desktop/Mobile","webkit","Fri Jun 27 15:24:49 IST 2025","passed","Fri Jun 27 15:25:10 IST 2025","","Event_Detail_Page/Event_Detail_Page.spec.ts","",""
"","12819","TC018_@sanity_EventsLandingPage_No Results Message for Irrelevant Search on Desktop/Mobile","MobileChrome","Fri Jun 27 15:44:16 IST 2025","passed","Fri Jun 27 15:44:29 IST 2025","","Events_Landing_Page/Events_Landing_Page.spec.ts","",""
"","38543","TC006_@sanity_MemberLanding Page_ Validate the UI of the results on Member landing page - Count,archive grid on member landing page.","webkit","Fri Jun 27 15:31:50 IST 2025","passed","Fri Jun 27 15:32:29 IST 2025","","Member_Landing_Page/Member_Landing_Page.spec.ts","",""
"","12514","TC002_@sanity_DCIBlogDetailPage_Validation of Blog detail Right Section on Desktop/Mobile","webkit","Fri Jun 27 15:21:55 IST 2025","passed","Fri Jun 27 15:22:07 IST 2025","","DCI_Blog_Detail/DCI_Blog_Detail.spec.ts","",""
"","2827","TC004_@sanity_EventsLandingPage_Verify Past Events Tab Functionality on Desktop/Mobile","chromium","Fri Jun 27 15:11:22 IST 2025","passed","Fri Jun 27 15:11:25 IST 2025","","Events_Landing_Page/Events_Landing_Page.spec.ts","",""
"","15642","TC017_@sanity_EventDetailPage_Verify Related Events Card Menu on Events Detail Page on Desktop/Mobile","webkit","Fri Jun 27 15:27:21 IST 2025","passed","Fri Jun 27 15:27:37 IST 2025","","Event_Detail_Page/Event_Detail_Page.spec.ts","",""
"","45159","TC004_@sanity_Clinical Trial Landing Page_Validate clinical trial count summary and filter updates","chromium","Fri Jun 27 14:56:19 IST 2025","passed","Fri Jun 27 14:57:04 IST 2025","","Clinical_Trial_Landing/Clinical_Trial_Landing.spec.ts","",""
"","22380","TC006_@sanity_Clinical Trial Landing Page_Validate the UI of the each Clinical trial box on clinical trial landing page. (desktop & mobile)","chromium","Fri Jun 27 14:57:08 IST 2025","passed","Fri Jun 27 14:57:30 IST 2025","","Clinical_Trial_Landing/Clinical_Trial_Landing.spec.ts","",""
"","5335","TC004_@sanity_DCI Blog Page_Validate UI of the DCI Blog page, validate the CTA, Pagination , filters, Blog Tiles visibility and their redirection on Desktop/Mobile","webkit","Fri Jun 27 15:22:32 IST 2025","passed","Fri Jun 27 15:22:38 IST 2025","","DCI_Blog_Landing/DCI_Blog_Landing.spec.ts","",""
"","5342","TC003_@sanity_DCIBlogLandingPage_Validation of Blogs/Articles and Newsmention results on Desktop/Mobile","chromium","Fri Jun 27 14:59:55 IST 2025","passed","Fri Jun 27 15:00:01 IST 2025","","DCI_Blog_Landing/DCI_Blog_Landing.spec.ts","",""
"","17631","TC001_@sanity_DCIBlogDetailPage_Validation of Blog detail header Section on Desktop/Mobile","webkit","Fri Jun 27 15:21:37 IST 2025","passed","Fri Jun 27 15:21:55 IST 2025","","DCI_Blog_Detail/DCI_Blog_Detail.spec.ts","",""
